                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.6197,                0.35497,                 0.9134,                0.98766,                0.99457,                0.99427,                0.90761,                0.48117,                0.26618,                0.84674,               0.000614,               0.000614,               0.000614
                     37,                0.60593,                0.34889,                0.90532,                0.98702,                0.99052,                0.99443,                0.90627,                0.47542,                0.25964,                 0.8459,              0.0005744,              0.0005744,              0.0005744
                     38,                 0.5991,                0.34512,                0.90641,                0.98927,                 0.9924,                0.99448,                0.90957,                0.47485,                0.26088,                0.84552,              0.0005348,              0.0005348,              0.0005348
                     39,                0.60781,                0.34136,                0.90493,                0.98524,                 0.9924,                0.99415,                0.90859,                0.47742,                0.26021,                 0.8439,              0.0004952,              0.0004952,              0.0004952
                     40,                0.60183,                0.34581,                0.90214,                0.98825,                0.99457,                0.99404,                0.90958,                0.47392,                0.25378,                0.84203,              0.0004556,              0.0004556,              0.0004556
                     41,                0.53776,                0.29113,                0.87839,                0.98909,                0.99566,                 0.9945,                0.90846,                 0.4783,                0.25987,                 0.8477,               0.000416,               0.000416,               0.000416
                     42,                0.53265,                0.28472,                0.87768,                0.98706,                0.99394,                0.99431,                0.90673,                0.49205,                 0.2602,                0.84957,              0.0003764,              0.0003764,              0.0003764
                     43,                 0.5333,                0.27924,                 0.8711,                0.98807,                 0.9895,                0.99447,                0.91277,                0.47289,                 0.2531,                  0.845,              0.0003368,              0.0003368,              0.0003368
                     44,                 0.5245,                0.27707,                0.87027,                0.99295,                0.99023,                0.99451,                0.91114,                0.46424,                0.25011,                0.84305,              0.0002972,              0.0002972,              0.0002972
                     45,                0.52088,                0.27295,                0.86402,                0.99345,                 0.9884,                0.99474,                0.91639,                0.46346,                0.24284,                0.84222,              0.0002576,              0.0002576,              0.0002576
                     46,                0.50923,                0.26846,                0.85814,                0.98705,                0.99295,                0.99478,                0.91819,                0.45745,                0.24379,                0.84344,               0.000218,               0.000218,               0.000218
                     47,                0.50406,                0.26321,                0.86442,                0.98601,                0.99504,                0.99458,                0.91741,                0.46445,                 0.2442,                0.84558,              0.0001784,              0.0001784,              0.0001784
                     48,                 0.5074,                0.26416,                0.86209,                0.98598,                0.99566,                 0.9946,                0.91943,                0.45036,                 0.2405,                0.84241,              0.0001388,              0.0001388,              0.0001388
                     49,                0.49685,                0.25758,                0.85694,                0.98815,                0.99553,                0.99454,                0.92075,                 0.4464,                0.23858,                0.84022,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.49428,                0.25444,                0.85647,                 0.9901,                0.98914,                0.99442,                0.92368,                0.44022,                0.23839,                 0.8383,               5.96e-05,               5.96e-05,               5.96e-05
